Quote,Author,Image file,Source of quote,Image link,Image credit,License type,Topic,Other links,Portrait from another page (same author)
"I am at a loss to figure out how to rid my e-mail of those bottom-feeders of the electronic world, the generators of spam.... If I were Emperor of the World, I would lock all the spammers in a room and force them to watch nothing but TV commercials for the rest of their miserable lives… and I would condemn the people who respond to spammers to do nothing but clean the toilets in this room.","(1937–2011), The Grammar Curmudgeon, a.k.a. ""The Mudge,"" from ""The Curmudgeon Sounds Off: A Plague of Spam,"" July 2004",,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"At 16, I started a web development business and had clients from the Netherlands, Caribbean, and across the country - none of whom knew my age because I could conduct all my business with a phone, scanner, and the Internet.",Aaron Patzer,dc_web_development_files\general_image-1132.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Aaron_Patzer_in_2006.jpg,"Photo by philosophygeek from San Francisco, US (Mint CEO Aaron Patzer) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
The problem with internet quotes is that you cannot always depend on their accuracy.,Abraham Lincoln - Public domain image. (Obviously false - Lincoln died looooong before even the first computer was invented),dc_evaluating_sites_files\general_image-1065.png,Data Comms: Evaluating web sites (dc_evaluating_sites.php),,,,Data Communications,,
"Flame wars, trolling, cyberbullying: All the social media dysfunction that is so familiar today came as a disturbing shock in the mideighties.",Adam Fisher,,Data Comms: Netiquette (dc_netiquette.php),,,,Data Communications,,
"The internet is almost as old as Silicon Valley itself, but before the browser was invented, the Valley took the ’net for granted. There were online experiments like The Well, but for most the internet was simply the ether that carried e-mail hither and thither.",Adam Fisher,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"Then Marc Andreessen, an American student working at NCSA, the National Center for Supercomputing Applications at the University of Illinois, built NCSA Mosaic—the first decent web browser.",Adam Fisher,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
Imagine a world where everything that can be connected will be connected - where driverless cars talk to smart transportation networks and where wireless sensors can monitor your health and transmit data to your doctor. That's a snapshot of what the 5G world will look like.,Ajit Pai,dc_communications_media_files\general_image-1590.png,Data Comms: Media (dc_communications_media.php),,"Photo by FCC [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
"Next-generation networks are hard to build. It takes a lot of money and effort to lay fiber, install wireless infrastructure, build satellite earth stations, and more. It also requires a reasonably certain business case for deployment, which is all too often hard to prove in parts of the country with sparse population and/or lower incomes.",Ajit Pai,dc_communications_media_files\general_image-1587.png,Data Comms: Media (dc_communications_media.php),,"Photo by FCC [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
"Nowadays, anyone who cannot speak English and is incapable of using the Internet is regarded as backward.",Al-Waleed bin Talal,dc_internet_files\general_image-1794.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Al_Waleed_bin_Talal_2015.jpg,"Photo by Hamit erik [CC BY-SA 4.0 ], via Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
A lot of people think the internet appeared in the nineties. It started in 1969.,Alan Kay,dc_internet_files\general_image-1776.png,Dat Comms: Internet (dc_internet.php),"https://commons.wikimedia.org/wiki/File:Alan_Kay_and_the_prototype_of_Dynabook,_pt._5_(3010032738).jpg","Photo by Marcin Wichary from San Francisco, U.S.A. (Alan Kay and the prototype of Dynabook, pt. 5) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
