Topic,Video title,Link,Channel,Found via,Source page file,Video ID
Data Comms: E-Communications,IRC Chat - How to Use The Social Underground of Geeks,https://www.youtube.com/watch?v=gavdElFoTWI,DASGeek,Embedded on the page,dc_e-comms.php,gavdElFoTWI
Hardware: Communications,Computer Basics: Connecting to the Internet,https://www.youtube.com/watch?v=hMX6dVa61t0,LearnFree,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,hMX6dVa61t0
Hardware: Communications,Is Public Wi-Fi Safe?,https://www.youtube.com/watch?v=bdVkkRmJEeM,SciShow,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,bdVkkRmJEeM
Hardware: Communications,Routers vs. Switches vs. Access Points - And More,https://www.youtube.com/watch?v=Vc16CCAAz7Q,Techquickie,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,Vc16CCAAz7Q
Hardware: Communications,"The Internet: Wires, Cables & Wifi",https://www.youtube.com/watch?v=ZhEf7e4kopM,CodeAI,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,ZhEf7e4kopM
Hardware: Communications,Using a 56k Modem Today! | Nostalgia Nerd,https://www.youtube.com/watch?v=17zfz017s9A,Nostalgia Nerd,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,17zfz017s9A
Hardware: Communications,What is an ISP?,https://www.youtube.com/watch?v=_iInpeYsy3o,butterscotchcom,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,_iInpeYsy3o
Hardware: Communications,Where Should I Put My Wi-Fi Router?,https://www.youtube.com/watch?v=7uwEjfPvXPQ,SciShow,Playlist: Grd 10 IT Hardware - Communications,hw_communications.php,7uwEjfPvXPQ
Hardware: Input,3D Scanning as Fast As Possible,https://www.youtube.com/watch?v=tap6NbuGeeg,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,tap6NbuGeeg
Hardware: Input,5 Unique Ways to Use Sensors on an Android Device,https://www.youtube.com/watch?v=pVyUBZ_rZeQ,Beebom,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,pVyUBZ_rZeQ
Hardware: Input,5 Ways You're Sitting Wrong at Your Desk - Computer Desk Setup Ergonomics,https://www.youtube.com/watch?v=Ree1CWifQTg,David Zhang,Playlist: IT Grd 10 Ergonomics,hw_input.php,Ree1CWifQTg
Hardware: Input,Are Digital Cameras Still Worth Buying?,https://www.youtube.com/watch?v=2FfESeH7Rro,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,2FfESeH7Rro
Hardware: Input,Average Speed Over Distance Cameras | Tech Report,https://www.youtube.com/watch?v=dZxO063Eg4Q,eNCATechReport,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,dZxO063Eg4Q
Hardware: Input,Awesome and weirdest use cases of RFID,https://www.youtube.com/watch?v=RPgCm81y3lU,UNext Learning ,Playlist: Grd 10 IT Hardware RFID,hw_input.php,RPgCm81y3lU
Hardware: Input,Biometric identification,https://www.youtube.com/watch?v=eZTfgNIiNUA,AFP News Agency,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,eZTfgNIiNUA
Hardware: Input,Biometric Scanners as Fast As Possible,https://www.youtube.com/watch?v=ZVNp3WiruzM,Techquickie,Playlist: Grd 10 IT Hardware Biometrics,hw_input.php,ZVNp3WiruzM
Hardware: Input,Biometrics Technology | Tech Report,https://www.youtube.com/watch?v=Vy2e_Zb0eoY,eNCATechReport,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,Vy2e_Zb0eoY
Hardware: Input,Camera Sensor Size Explained,https://www.youtube.com/watch?v=cBV8wpNmnpY,Channel 8,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,cBV8wpNmnpY
Hardware: Input,Can You Teach A Phone To See?,https://www.youtube.com/watch?v=spO3ugXq6Po,Nat and Friends,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,spO3ugXq6Po
Hardware: Input,"Carpal tunnel syndrome - causes, symptoms, diagnosis, treatment & pathology",https://www.youtube.com/watch?v=cEO5YG8Y554,Osmosis from Elsevier,Playlist: IT Grd 10 Ergonomics,hw_input.php,cEO5YG8Y554
Hardware: Input,Computer Basics: Creating a Safe Workspace,https://www.youtube.com/watch?v=8M9HtW_SAQM,LearnFree,Playlist: IT Grd 10 Ergonomics,hw_input.php,8M9HtW_SAQM
Hardware: Input,Computer Ergonomics as Fast As Possible,https://www.youtube.com/watch?v=bLBKUbnLYTs,Techquickie,Playlist: IT Grd 10 Ergonomics,hw_input.php,bLBKUbnLYTs
Hardware: Input,"Computer vision syndrome : ""Mo screens, mo problems"" ft. Eyez Cube & The Bad Eyed Peas",https://www.youtube.com/watch?v=v_nyL9ns4Sw,Demystifying Medicine McMaster,Playlist: IT Grd 10 Ergonomics,hw_input.php,v_nyL9ns4Sw
Hardware: Input,Computer Vision: Crash Course Computer Science #35,https://www.youtube.com/watch?v=-4E2-0sxVUM,CrashCourse,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,-4E2-0sxVUM
"Hardware: Input, Software: Application Software",Deepfakes - Real Consequences,https://www.youtube.com/watch?v=dMF2i3A9Lzw,ColdFusion,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: Grd 10 IT Software - Video,hw_input.php; sw_applications.php,dMF2i3A9Lzw
Hardware: Input,Explaining 3D Scanning,https://www.youtube.com/watch?v=TTCiOoedUco,ExplainingComputers,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,TTCiOoedUco
Hardware: Input,"How Computer Vision Is Finally Taking Off, After 50 Years",https://www.youtube.com/watch?v=eQLcDmfmGB0,Nat and Friends,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,eQLcDmfmGB0
Hardware: Input,How computers learn to recognize objects instantly | Joseph Redmon,https://www.youtube.com/watch?v=Cgxsv1riJhI,TED,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,Cgxsv1riJhI
Hardware: Input,How Do Barcodes Work | Earth Science,https://www.youtube.com/watch?v=VbHzx4nWqWY,BBC Earth Science,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,VbHzx4nWqWY
Hardware: Input,How Do Barcodes Work?,https://www.youtube.com/watch?v=pfeVckbQxdQ,sciBRIGHT,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,pfeVckbQxdQ
Hardware: Input,How do digital cameras work? | James May Q&A | Head Squeeze,https://www.youtube.com/watch?v=Ic0czeUJrGE,BBC Earth Science,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,Ic0czeUJrGE
Hardware: Input,How Do Driverless Cars Work? | Earth Science,https://www.youtube.com/watch?v=ZqRTVhiEiII,BBC Earth Science,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,ZqRTVhiEiII
Hardware: Input,How Do Scanners Work?,https://www.youtube.com/watch?v=OpBDTjw9yho,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,OpBDTjw9yho
Hardware: Input,How Does Fingerprint Scanning Work?,https://www.youtube.com/watch?v=oCY5sPkkaTM,Techquickie,Playlist: Grd 10 IT Hardware Biometrics,hw_input.php,oCY5sPkkaTM
Hardware: Input,How Does GPS Work?,https://www.youtube.com/watch?v=FU_pY2sTwTA,sciBRIGHT,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,FU_pY2sTwTA
Hardware: Input,How Does GPS Work? | Mashable Explains,https://www.youtube.com/watch?v=2iAgggixkO8,Mashable,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,2iAgggixkO8
