Type,ID,Link,Status,Referenced by page(s)
Playlist,PL2HRXufnVD1wCv-7r2_u8J1p5ZIOf_OkB,https://www.youtube.com/playlist?list=PL2HRXufnVD1wCv-7r2_u8J1p5ZIOf_OkB,gone,hw_ports_connectors.php
Playlist,PL2HRXufnVD1wg_4D_1tjAt_wfFnNIIm2N,https://www.youtube.com/playlist?list=PL2HRXufnVD1wg_4D_1tjAt_wfFnNIIm2N,gone,im_data_representation.php; im_number_systems.php; im_primitives.php
Playlist,PL2HRXufnVD1wh7_xwbPT7U3mv-lwL-mJQ,https://www.youtube.com/playlist?list=PL2HRXufnVD1wh7_xwbPT7U3mv-lwL-mJQ,gone,sw_applications.php
Playlist,PL2HRXufnVD1wiq86dKemILIh57kf9k-8c,https://www.youtube.com/playlist?list=PL2HRXufnVD1wiq86dKemILIh57kf9k-8c,gone,si_cyber_crime.php
Playlist,PL2HRXufnVD1wo0PSnnvH3aGocxSSWJ1iv,https://www.youtube.com/playlist?list=PL2HRXufnVD1wo0PSnnvH3aGocxSSWJ1iv,gone,hw_output.php
Playlist,PL2HRXufnVD1wpnKVOdzTczfDNNJ29qTVt,https://www.youtube.com/playlist?list=PL2HRXufnVD1wpnKVOdzTczfDNNJ29qTVt,gone,hw_storage.php
Playlist,PL2HRXufnVD1wv38GcCL6EaPQhARo2ZWEN,https://www.youtube.com/playlist?list=PL2HRXufnVD1wv38GcCL6EaPQhARo2ZWEN,gone,hw_output.php
Playlist,PL2HRXufnVD1wwkoftCNgY--qAlp_q1piV,https://www.youtube.com/playlist?list=PL2HRXufnVD1wwkoftCNgY--qAlp_q1piV,gone,si_green_computing.php
Playlist,PL2HRXufnVD1wxa14JTzB3f2OPa8am7sgs,https://www.youtube.com/playlist?list=PL2HRXufnVD1wxa14JTzB3f2OPa8am7sgs,gone,hw_output.php
Playlist,PL2HRXufnVD1x-abuQqC1CicNI0xJAXsq3,https://www.youtube.com/playlist?list=PL2HRXufnVD1x-abuQqC1CicNI0xJAXsq3,gone,hw_processing.php
Playlist,PL2HRXufnVD1x-wL8-vIHumobR6WE17TCL,https://www.youtube.com/playlist?list=PL2HRXufnVD1x-wL8-vIHumobR6WE17TCL,gone,sw_applications.php
Playlist,PL2HRXufnVD1x1b8jhwlukNaxHdywDi2ar,https://www.youtube.com/playlist?list=PL2HRXufnVD1x1b8jhwlukNaxHdywDi2ar,gone,im_file_management.php
Playlist,PL2HRXufnVD1x3Pb3zJT2NTGViSCtDYLEq,https://www.youtube.com/playlist?list=PL2HRXufnVD1x3Pb3zJT2NTGViSCtDYLEq,gone,sw_systems.php
Playlist,PL2HRXufnVD1x5UWHKDo_ku18mAIkQnM9R,https://www.youtube.com/playlist?list=PL2HRXufnVD1x5UWHKDo_ku18mAIkQnM9R,gone,sw_applications.php
Playlist,PL2HRXufnVD1x5W_MVkPsUjTJn8asuZvYn,https://www.youtube.com/playlist?list=PL2HRXufnVD1x5W_MVkPsUjTJn8asuZvYn,gone,sw_applications.php
Playlist,PL2HRXufnVD1x9yq35I-QemytThG6D0mdj,https://www.youtube.com/playlist?list=PL2HRXufnVD1x9yq35I-QemytThG6D0mdj,gone,hw_output.php
Playlist,PL2HRXufnVD1xLziFL-B2OMgujyYeCQy2l,https://www.youtube.com/playlist?list=PL2HRXufnVD1xLziFL-B2OMgujyYeCQy2l,gone,sw_distribution.php
Playlist,PL2HRXufnVD1xqotJLaQcCuQJIVd6d-p6k,https://www.youtube.com/playlist?list=PL2HRXufnVD1xqotJLaQcCuQJIVd6d-p6k,gone,si_licensing.html; si_plagiarism.php
Playlist,PL2HRXufnVD1xvQobTeQ23mMU0LrZhs99W,https://www.youtube.com/playlist?list=PL2HRXufnVD1xvQobTeQ23mMU0LrZhs99W,gone,sw_applications.php
Playlist,PL2HRXufnVD1yHM_MUdaiCS2yQvC-vqorN,https://www.youtube.com/playlist?list=PL2HRXufnVD1yHM_MUdaiCS2yQvC-vqorN,gone,hw_input.php
Playlist,PL2HRXufnVD1yR8kLZmZRfNARUOMiNWv8D,https://www.youtube.com/playlist?list=PL2HRXufnVD1yR8kLZmZRfNARUOMiNWv8D,gone,hw_input.php
Playlist,PL2HRXufnVD1yT5AoK3yS7EkKgpS21Mo6P,https://www.youtube.com/playlist?list=PL2HRXufnVD1yT5AoK3yS7EkKgpS21Mo6P,gone,sw_applications.php
Playlist,PL2HRXufnVD1y_cLEpLVM5yuDSZp0BZnCN,https://www.youtube.com/playlist?list=PL2HRXufnVD1y_cLEpLVM5yuDSZp0BZnCN,gone,sw_applications.php
Playlist,PL2HRXufnVD1z2iLzsauPkMLebNcnJ9Oo5,https://www.youtube.com/playlist?list=PL2HRXufnVD1z2iLzsauPkMLebNcnJ9Oo5,gone,hw_output.php
Playlist,PL2HRXufnVD1z3-YLOONkVoYWbdnMqM_tP,https://www.youtube.com/playlist?list=PL2HRXufnVD1z3-YLOONkVoYWbdnMqM_tP,gone,im_ascii.php; im_bits.php; im_data_storage.php
Playlist,PL2HRXufnVD1zJ3kZB4ulmrBMzzDPvxkau,https://www.youtube.com/playlist?list=PL2HRXufnVD1zJ3kZB4ulmrBMzzDPvxkau,gone,sw_applications.php
Playlist,PL2HRXufnVD1zRVlGT5UNJL5aqnTzkS_Ys,https://www.youtube.com/playlist?list=PL2HRXufnVD1zRVlGT5UNJL5aqnTzkS_Ys,gone,sw_applications.php
Playlist,PL2HRXufnVD1zWfqIjggJnzEHGJQOwBvNg,https://www.youtube.com/playlist?list=PL2HRXufnVD1zWfqIjggJnzEHGJQOwBvNg,gone,hw_maintenance.php
Playlist,PL2HRXufnVD1zmBS125_5nZ9i1vMo6bnVD,https://www.youtube.com/playlist?list=PL2HRXufnVD1zmBS125_5nZ9i1vMo6bnVD,gone,hw_inside_case.php
Playlist,PL2HRXufnVD1zuYkOfkLGilXP2UOiSgjlu,https://www.youtube.com/playlist?list=PL2HRXufnVD1zuYkOfkLGilXP2UOiSgjlu,gone,si_digital_divide.html
Video,PgHx3eMBXjI,https://www.youtube.com/watch?v=PgHx3eMBXjI,gone,hw_output.php
Video,V0E-V6a1Ug0,https://www.youtube.com/watch?v=V0E-V6a1Ug0,gone,hw_inside_case.php
Video,ZqbFGhM4Wrs,https://www.youtube.com/watch?v=ZqbFGhM4Wrs,gone,hw_output.php
