Image URL / path,Times referenced,Pages referencing it
(null),29,hw_input.php; hw_ports_connectors.php; hw_processing.php
https://learningopportunities.co.za/resources/img/illustrations/ipo_model_quiz.jpg,9,bc_contents.html; cm_contents.html; cm_define_ict.php
http://itteacher.co.za/resources/img/do_you_know.jpg,8,im_bits.php; im_number_systems.php; im_primitives.php; si_digital_divide.html
https://learningopportunities.co.za/resources/img/illustrations/pq_bc_summary.jpg,6,bc_contents.html; cm_contents.html; cm_define_ict.php
https://learningopportunities.co.za/resources/img/illustrations/pq_types_of_computers.jpg,6,bc_contents.html; cm_contents.html; cm_define_ict.php
https://learningopportunities.co.za/resources/img/illustrations/pq_hw_sw.jpg,6,bc_contents.html; cm_contents.html; cm_hw_sw.php
https://learningopportunities.co.za/resources/img/illustrations/pq_d_v_i.jpg,6,bc_contents.html; cm_contents.html; cm_data_info.php
http://itteacher.co.za/resources/img/answer.png,6,im_bits.php; im_number_systems.php; im_primitives.php
https://learningopportunities.co.za/resources/img/illustrations/gears.png,5,dc_browsing.php
http://itteacher.co.za/resources/img/android_asking.png,5,im_ascii.php; im_bits.php; im_data_storage.php; im_number_systems.php; im_primitives.php
https://learningopportunities.co.za/resources/img/logos_icons/define_ict_22.jpg,4,cm_contents.html; cm_data_info.php; cm_define_ict.php; cm_hw_sw.php
https://learningopportunities.co.za/resources/img/logos_icons/hw_sw_22.png,4,cm_contents.html; cm_data_info.php; cm_define_ict.php; cm_hw_sw.php
https://learningopportunities.co.za/resources/img/logos_icons/dvi_22.png,4,cm_contents.html; cm_data_info.php; cm_define_ict.php; cm_hw_sw.php
http://itteacher.co.za/resources/img/tick_green_chalk.png,4,dc_communications_media.php; dc_e-comms.php
http://itteacher.co.za/resources/img/cross_red_chalk.png,4,dc_communications_media.php; dc_e-comms.php
https://learningopportunities.co.za/resources/img/logos_icons/logo_75.png,4,index.html; question.php
https://learningopportunities.co.za/resources/img/illustrations/login.png,4,index.html; question.php
http://itteacher.co.za/resources/img/cebo_point_right.png,4,sw_applications.php; sw_distribution.php; sw_systems.php; sw_types.php
https://learningopportunities.co.za/resources/img/illustrations/fq_bc_summary.jpg,3,bc_contents.html; cm_contents.html; cm_define_ict.php
https://learningopportunities.co.za/resources/img/illustrations/qf_types_of_computers.jpg,3,bc_contents.html; cm_contents.html; cm_define_ict.php
https://learningopportunities.co.za/resources/img/illustrations/qf_hw_sw.jpg,3,bc_contents.html; cm_contents.html; cm_hw_sw.php
https://learningopportunities.co.za/resources/img/illustrations/qf_d_v_i.jpg,3,bc_contents.html; cm_contents.html; cm_data_info.php
https://learningopportunities.co.za/resources/img/illustrations/montondile_point_left.png,3,cm_data_info.php; cm_define_ict.php; cm_hw_sw.php
https://learningopportunities.co.za/resources/img/illustrations/quotes.jpg,3,hw_contents.html; im_menu.html; si_contents.html
http://itteacher.co.za/resources/img/android_sitting_tray_left.jpg,3,im_data_representation.php
https://learningopportunities.co.za/resources/img/illustrations/bc_define_ict.jpg,2,bc_contents.html; cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/hw_sw.jpg,2,bc_contents.html; cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/dvi.jpg,2,bc_contents.html; cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/crossword.png,2,bc_contents.html; cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/sw_dist.jpg,2,cm_hw_sw.php; sw_contents.html
http://itteacher.co.za/resources/img/key_home.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_end.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_page_up.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_page_down.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_print_screen.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_scroll_lock.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_pause.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/key_num_lock.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/click_left.jpg,2,hw_input.php
http://itteacher.co.za/resources/img/card_sd.jpg,2,hw_input.php; hw_storage.php
http://itteacher.co.za/resources/img/card_compact_flash.jpg,2,hw_input.php; hw_storage.php
http://itteacher.co.za/resources/img/card_micro_sd.jpg,2,hw_input.php; hw_storage.php
http://itteacher.co.za/resources/img/card_reader.jpg,2,hw_input.php; hw_storage.php
http://itteacher.co.za/resources/img/android_standing_point_right.png,2,im_data_representation.php; im_file_management.php
https://learningopportunities.co.za/resources/img/illustrations/binary_80_switch.jpg,2,im_data_representation.php
http://itteacher.co.za/resources/img/android_sitting_point_up_right.jpg,2,im_data_representation.php
http://itteacher.co.za/resources/img/hands_10.png,2,im_data_representation.php
http://itteacher.co.za/resources/img/android_tray_356.jpg,2,im_data_representation.php
http://itteacher.co.za/resources/img/android_tray_1010.jpg,2,im_data_representation.php
http://itteacher.co.za/resources/img/wex_files.jpg,2,im_file_management.php
https://learningopportunities.co.za/resources/img/illustrations/intro.jpg,2,im_menu.html; si_contents.html
http://itteacher.co.za/resources/img/bitmap_vector.jpg,2,sw_applications.php
http://itteacher.co.za/resources/img/sound_editing.jpg,2,sw_applications.php
http://itteacher.co.za/resources/img/drivers.png,2,sw_applications.php; sw_systems.php
http://itteacher.co.za/resources/img/software_commercial.jpg,2,sw_distribution.php; sw_types.php
http://itteacher.co.za/resources/img/software_trial.jpg,2,sw_distribution.php; sw_types.php
http://itteacher.co.za/resources/img/software_subscription.jpg,2,sw_distribution.php; sw_types.php
http://itteacher.co.za/resources/img/software_in_app.jpg,2,sw_distribution.php
https://learningopportunities.co.za/resources/img/illustrations/1_basic_concepts_prequiz.jpg,1,bc_contents.html
https://learningopportunities.co.za/resources/img/illustrations/1_basic_concepts_pracquiz.jpg,1,bc_contents.html
https://learningopportunities.co.za/resources/img/illustrations/1_basic_concepts_finquiz.jpg,1,bc_contents.html
https://learningopportunities.co.za/resources/img/illustrations/8_housekeeping_prequiz.jpg,1,cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/8_housekeeping_pracquiz.jpg,1,cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/8_housekeeping_finquiz.jpg,1,cm_contents.html
https://learningopportunities.co.za/resources/img/illustrations/os.jpg,1,cm_hw_sw.php
https://learningopportunities.co.za/resources/img/illustrations/app_sw.jpg,1,cm_hw_sw.php
http://itteacher.co.za/resources/img/webbrowsing.png,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/what_is_a_browser.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/cookies.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/popups.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/javascript.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/bookmark.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/plugins.jpg,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/adblock.jpg,1,dc_browsing.php
http://itteacher.co.za/resources/img/search.png,1,dc_browsing.php
https://learningopportunities.co.za/resources/img/illustrations/spider.jpg,1,dc_browsing.php
http://itteacher.co.za/resources/img/copper.png,1,dc_communications_media.php
http://itteacher.co.za/resources/img/fibre.png,1,dc_communications_media.php
https://learningopportunities.co.za/resources/img/illustrations/fibre_optic.jpg,1,dc_communications_media.php
https://learningopportunities.co.za/resources/img/illustrations/world_submarine_cable.jpg,1,dc_communications_media.php
http://itteacher.co.za/resources/img/radio.png,1,dc_communications_media.php
http://itteacher.co.za/resources/img/email.png,1,dc_e-comms.php
http://itteacher.co.za/resources/img/chat.png,1,dc_e-comms.php
http://itteacher.co.za/resources/img/voip.png,1,dc_e-comms.php
https://learningopportunities.co.za//resources/img/logos_icons/ebay.png,1,dc_e-comms.php
https://learningopportunities.co.za//resources/img/logos_icons/bidorbuy.png,1,dc_e-comms.php
https://learningopportunities.co.za//resources/img/logos_icons/kickstarter.png,1,dc_e-comms.php
https://learningopportunities.co.za//resources/img/logos_icons/indiegogo.png,1,dc_e-comms.php
https://learningopportunities.co.za//resources/img/logos_icons/fake_news.png,1,dc_e-comms.php
http://itteacher.co.za/resources/img/blog_rss.png,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_create_feed.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_follow.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_own_feed.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_list_view.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_view.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_sorting.jpg,1,dc_e-comms.php
https://learningopportunities.co.za/resources/img/step_by_step/feedly_mark_read.jpg,1,dc_e-comms.php
http://itteacher.co.za/resources/resources/quality.jpg,1,dc_evaluating_sites.php
http://itteacher.co.za/resources/img/connecting_internet.png,1,dc_internet.php
https://learningopportunities.co.za/resources/img/hardware/sim_cards.jpg,1,dc_internet.php
http://itteacher.co.za/resources/img/cloud.png,1,dc_internet.php
http://itteacher.co.za/resources/img/aws_logo.svg,1,dc_internet.php
https://learningopportunities.co.za/resources/img/illustrations/cloud_applications_1000.jpg,1,dc_internet.php
http://itteacher.co.za/resources/img/url.png,1,dc_internet.php
https://learningopportunities.co.za/resources/img/illustrations/url_ip_lrg.jpg,1,dc_internet.php
https://learningopportunities.co.za/resources/img/illustrations/dns_lookup.jpg,1,dc_internet.php
http://itteacher.co.za/resources/img/examples of netiquette.png,1,dc_netiquette.php
https://learningopportunities.co.za//resources/img/logos_icons/ans.png,1,dc_template.php
https://learningopportunities.co.za//resources/img/logos_icons/topology.png,1,dc_template.php
https://learningopportunities.co.za//resources/img/logos_icons/server.png,1,dc_template.php
http://itteacher.co.za/resources/img/ans.png,1,dc_types_of_networks.html
https://learningopportunities.co.za//resources/img/logos_icons/bluetooth.png,1,dc_types_of_networks.html
https://learningopportunities.co.za//resources/img/illustrations/wan_sa.png,1,dc_types_of_networks.html
http://itteacher.co.za/resources/img/topology.png,1,dc_types_of_networks.html
http://itteacher.co.za/resources/img/server.png,1,dc_types_of_networks.html
http://itteacher.co.za/resources/img/html5.png,1,dc_web_development.php
http://itteacher.co.za/resources/img/css.png,1,dc_web_development.php
http://itteacher.co.za/resources/img/js.png,1,dc_web_development.php
http://itteacher.co.za/resources/img/wsconstruction.png,1,dc_web_development.php
https://learningopportunities.co.za/resources/img/illustrations/early_web.jpg,1,dc_www.php
http://itteacher.co.za/resources/img/web_sites.png,1,dc_www.php
http://itteacher.co.za/resources/img/page_vs_site.png,1,dc_www.php
https://learningopportunities.co.za/resources/img/illustrations/web_page_vs_web_site.jpg,1,dc_www.php
http://itteacher.co.za/resources/img/app.png,1,dc_www.php
http://itteacher.co.za/resources/img/mobile.jpg,1,hw_communications.php
http://itteacher.co.za/resources/img/laptop.jpg,1,hw_communications.php
https://learningopportunities.co.za/resources/img/illustrations/input.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/output.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/storage.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/comms.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/in_case.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/processing.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/ports.jpg,1,hw_contents.html
https://learningopportunities.co.za/resources/img/illustrations/maint.jpg,1,hw_contents.html
