Document,Placeholder reference,Why unresolved,Nearby text
dc_evaluating_sites.docx,Stacks Image 1240,no filename recorded,Often you can judge the value of the information by the way it is presented. / Look out for the following:
hw_input.docx,Stacks Image 5425,no filename recorded,"By TedColes [Public domain], from Wikimedia Commons / They keyboard was the first direct way of giving input t"
hw_input.docx,Stacks Image 5429,no filename recorded,Special Keys & what they do / Function Keys
hw_input.docx,Stacks Image 5432,no filename recorded,The top row of your keyboard is taken up by function keys. These keys were incredibly important before the GUI
hw_input.docx,Stacks Image 5435,no filename recorded,The arrow keys on the keyboard are used to move the cursor around when typing text. / They can also be used fo
hw_input.docx,Stacks Image 5438,no filename recorded,"Your keyboard contains a lot of additional keys besides the alphabetic, numerical, function and arrow keys. / "
hw_input.docx,Stacks Image 5441,no filename recorded,These are modifier keys. Holding them down whilst pressing a different key (or when clicking the mouse) gives 
hw_input.docx,Stacks Image 5444,no filename recorded,The Fn key originally appeared only on laptops - and on Apple keyboards. / It is used to change what the Funct
hw_ports_connectors.docx,Stacks Image 4702,no filename recorded,USB stands for Universal Serial Bus. / This technology has been around since the late 1990's.
hw_ports_connectors.docx,Stacks Image 4705,no filename recorded,The various USB connectors - click to enlarge…. / USB 1 & 2 Connectors
hw_ports_connectors.docx,Stacks Image 4708,no filename recorded,USB 1 & 2 are identical in the cables and connectors they use. / The only difference is that USB 2 is faster t
hw_ports_connectors.docx,Stacks Image 4711,no filename recorded,USB 4 is the fastest USB and runs at the same speed as Thunderbolt 3 & 4. / USB 3 is a major speed enhancement
hw_ports_connectors.docx,Stacks Image 4715,no filename recorded,The USB C port and connector are shaped so that you can insert the connector any way around. / [image unavaila
hw_ports_connectors.docx,Stacks Image 4718,no filename recorded,USB C is where things start to get messy in the world of USB. / USB C is a connector type - just like Type A a
hw_ports_connectors.docx,Stacks Image 4721,no filename recorded,This USB port can support many different configurations… / That innocent looking USB C port is a maze of confu
hw_ports_connectors.docx,Stacks Image 4723,no filename recorded,Which USB C do I have? / USB C Cables
hw_ports_connectors.docx,Stacks Image 4726,no filename recorded,"USB 4, 3.1 & Thunderbolt Cables / Just like the ports themselves, cables for USB C are a bit of a confusing ju"
hw_ports_connectors.docx,Stacks Image 4729,no filename recorded,"Connecting a screen can be a bit of a mission.
You have to know what ports your computer supports - and what p"
hw_ports_connectors.docx,Stacks Image 4732,no filename recorded,HDMI stands for High Definition Media Interface. / This technology is designed to
hw_ports_connectors.docx,Stacks Image 4735,no filename recorded,"Versions of HDMI / The technology has different versions - e.g. version 1, 1.2, 1.4, 2.0, etc."
hw_ports_connectors.docx,Stacks Image 4738,no filename recorded,This illustration shows that Thunderbolt and Mini DisplayPort look the same - the only difference is the symbo
hw_ports_connectors.docx,Stacks Image 4741,no filename recorded,This converter has a Mini DisplayPort on one end and outputs VGA and HDMI and sound. / As with HDMI you can ge
hw_ports_connectors.docx,Stacks Image 4743,no filename recorded,USB C is the latest high-speed version of USB. / The USB cable / speed situation is a bit of a mess (see the U
hw_ports_connectors.docx,Stacks Image 4749,no filename recorded,It is even possible to get a USB to VGA converter! / VGA stands for Video Graphics Array.
hw_ports_connectors.docx,Stacks Image 4756,no filename recorded,"USB display By Masahiko OHKUBO (originally posted to Flickr as usb display (1/3)) [CC BY 2.0 ], via Wikimedia "
hw_ports_connectors.docx,Stacks Image 4759,no filename recorded,This computer has a Thunderbolt 3 port (on the left) and a Mini DisplayPort (on the right).Thunderbolt 2 looks
hw_ports_connectors.docx,Stacks Image 4763,no filename recorded,"This computer has a USB port, 2 Firewire ports, an Ethernet port and a DVI video port. / Before Thunderbolt ca"
hw_ports_connectors.docx,Stacks Image 4766,no filename recorded,"Lightning is a connection designed by and used only by Apple mobile devices.
It transfers data at USB 2 speeds"
hw_processing.docx,Stacks Image 4576,no filename recorded,"Desktop CPUs by intel, Apple and AMD"
hw_processing.docx,Stacks Image 4573,no filename recorded,The x in 'x core' stands for the number of physical CPUs included on a single chip. / A 2 Core chip is the sam
im_ascii.docx,the_history_of_unicode.png,named file - no matching asset,"Cartoon from XKCD - A webcomic of romance,
sarcasm, math, and language - created by Randall Munroe / Back to t"
im_file_management.docx,Image Map,no filename recorded,macOS Finder / The image displayed below explains the sections of the Finder window.
im_file_management.docx,Image Map,no filename recorded,File Extensions / Linking files to Software
im_primitives.docx,unknown,no filename recorded,NB: This content should be learnt at the same time as learning about Variables in programming. / Every program
im_primitives.docx,unknown,no filename recorded,Each programming language has a list of primitive data types that you need to learn to use. / There are usuall
im_primitives.docx,unknown,no filename recorded,Each programming language will call its primitives by a different name (though most are kinda similar) and hav
si_licensing.docx,Copyright symbol made up from words.,no filename recorded,Copyright & CopyLeft & Creative Commons / Copyright is automatic - if you create something (i.e. write somethi
si_licensing.docx,faust_20.png,named file - no matching asset,"Cartoon from XKCD - A webcomic of romance,
sarcasm, math, and language - created by Randall Munroe / Crazy thi"
si_licensing.docx,steal_this_comic.png,named file - no matching asset,"Cartoon from XKCD - A webcomic of romance,
sarcasm, math, and language - created by Randall Munroe / The carto"
si_plagiarism.docx,Copyright symbol made up from words.,no filename recorded,Cartoon licensed and used with permission from Mark Lynch
